path,sentence_transcript
common_voice_it_19979252.mp3," Alla fine così tutti saranno portati via dalla polizia, incluso i padri di Rachel."
common_voice_it_20005747.mp3," Ha partecipato a sci di fondo, nuoto e corso a livello di college."
common_voice_it_20009155.mp3, Laura e Giovanni sono una coppia sposata ormai da 20 anni.
common_voice_it_19986251.mp3, Nasce così il team Chuck Batolski.
common_voice_it_19993648.mp3, Un comandamento tesa di mostrare lo stretto rapporto tra Dio e Sua popola.
common_voice_it_39607283.mp3, La corona è sormontata da una semplice croce d'oro con perle ad ogni estremità.
common_voice_it_19988526.mp3, Rischiavano pertanto di essere giudicati da un tribunale penale come traditori.
common_voice_it_26151073.mp3," Il pescatore si avanzò, si mischiò al gruppo."
common_voice_it_25333685.mp3," Un po' più alto, per favore."
common_voice_it_27401573.mp3, Lo stesso anno recita anche in Il mercante di Venezia con Al Pacino.
common_voice_it_27935263.mp3, Il colore originale della vettura era il bianco.
common_voice_it_19667688.mp3," Per un istante esitò, quasi avesse voluto fermarsi, poi riprese svelto verso lo scalone."
common_voice_it_23632409.mp3, La produzione è iniziata a Los Angeles.
common_voice_it_17832714.mp3, In Europa c'è meno diseguaglianza di genere.
common_voice_it_20023569.mp3," Ho un fratello, Uj, e una sorella, l'attrice Ronald Newton John."
common_voice_it_23621307.mp3," Il romanzo Nara d'Astor di Giacobbe Flanders, il patogonista."
common_voice_it_20241354.mp3," Un altro fratello, Atlas Khan, era stato un grande giocatore non professionista."
common_voice_it_20090166.mp3, Si innamora di Claire
common_voice_it_20268842.mp3, L'unica carrozzeria disponibile era Torpedo quattro posti.
common_voice_it_20078425.mp3, Il cranio inoltre possedeva una cresta alta e arrotondata.
common_voice_it_20067263.mp3, Si trova al centro della Libia nella regione storica del Fezzan.
common_voice_it_20231089.mp3, Ancora una volta il nuovo scenario internazionale ha effetti dirompenti in Italia.
common_voice_it_19011431.mp3, dicendole che aveva comprato del pane e carne e frutta.
common_voice_it_26690702.mp3, Il motore è raffreddato liquido ed è dotato anche di scarico con catalizzatore.
common_voice_it_20295298.mp3," La varietà pettinata è utilizzata per creare uniformi militari completi, cappotti e trench."
common_voice_it_20041065.mp3, L'architetto vuole essere retribuito per entrambi i progetti.
common_voice_it_20013051.mp3, si tratta della logica simmetrica
common_voice_it_39862823.mp3, Pertanto vi sono autorizzate esclusivamente attività di ricerca scientifica e tecnica.
